id;Consent_000_RAW;Consent_001_RAW;Goodbye_001_RAW;SBS_01_RAW;SBS_02_RAW;SBS_03_RAW;SBS_04_RAW;SBS_05_RAW;SBS_06_RAW;SBS_07_RAW;SBS_08_RAW;SBS_09_RAW;SBS_10_RAW;DEMOGR_01_RAW;DEMOGR_02_RAW;DEMOGR_03_RAW;DEMOGR_05_RAW;DEMOGR_06_RAW;DEMOGR_07_RAW;DEMOGR_08_RAW;DEMOGR_10_RAW;DEMOGR_11_RAW;DEMOGR_12_RAW;DEMOGR_13_RAW;DEMOGR_14_RAW;DEMOGR_15_RAW;DEMOGR_16_RAW;DEMOGR_17_RAW;DEMOGR_18_RAW;DEMOGR_19_RAW
20;"";acepto participar;pux48tffu4nbvpl5se3o;1;-3;1;-1;2;0;1;-2;-3;-4;39;Masculino;ENLIEYB@gmail.com;Si;San Rafael;Básica completa;Ciencias / Ingeniería;Primero;Universidad Santo Tomás;Universidad completa;Centro de Formación Técnica o en Instituto Profesional completa;FONASA A;Si;Si;No se;52;"Madre; Hermanas; Amigas cercanas"
23;"";acepto participar;g4udc6m7nmvu029d6laf;2;-4;-2;-1;-4;-4;2;3;0;-2;22;Masculino;0NF7y2@gmail.com;Si;La Ligua;Básica incompleta;Ciencias / Ingeniería;Cuarto;Universidad Autónoma de Chile (UAS);Centro de Formación Técnica o en Instituto Profesional incompleta;Media incompleta;FONASA D;Si;No;Si;49;Madre
22;"";acepto participar;z82hrra9gdfrhw48pxn3;-3;1;-1;2;0;1;-2;-3;-4;-1;33;No binario;loZgO@gmail.com;Si;Laguna Blanca;Universidad incompleta;Humanidades y Ciencias Sociales;Iniciada;Universidad de Los Andes (UANDES);Centro de Formación Técnica o en Instituto Profesional completa;Postgrado incompleta;FONASA B;Si;Si;No se;27;Madre
30;"";acepto participar;pzwfqv05gld96dh9w1c1;0;1;-2;-3;-4;-1;-4;-4;-2;-4;42;No binario;2nY48I@gmail.com;Si;Osorno;Centro de Formación Técnica o en Instituto Profesional completa;Humanidades y Ciencias Sociales;Segundo;Universidad Católica de Temuco (UCT);Postgrado completa;Magíster o Doctorado incompleta;Isapre;No;Si;No se;72;"Madre; Hermanas"
21;"";acepto participar;gtb9lr9u7se7a51edklo;4;2;-4;-2;-1;-4;-4;2;3;0;35;No binario;aLEetaswG6@gmail.com;No;Caldera;Básica incompleta;Humanidades y Ciencias Sociales;Segundo;Universidad de Artes, Cs. y Comunicación (UNIACC);Básica incompleta;Centro de Formación Técnica o en Instituto Profesional incompleta;FONASA B;Si;Si;No;65;"Hermanas; Amigas cercanas"
25;"";acepto participar;fp199dz8pjxxy9h229w1;-4;-2;-1;-4;-4;2;3;0;-2;-2;24;Masculino;ClV2he2@gmail.com;No;Máfil;Básica completa;Negocios / Comercio;Primero;Universidad Central de Chile (UCENTRAL);Media incompleta;Centro de Formación Técnica o en Instituto Profesional completa;FONASA D;No;Si;No;61;"Hermanas; Amigas cercanas"
26;"";acepto participar;0gtt2t854kbta2g7hbta;-1;2;0;1;-2;-3;-4;-1;-4;-4;29;Femenino;IzDpkPy@gmail.com;No;Chile Chico;Sin educación formal;Artes;Primero;Universidad Miguel de Cervantes;Universidad incompleta;Media incompleta;FONASA B;No;Si;Si;60;"Madre; Hermanas; Amigas cercanas"
24;"";acepto participar;836ysy11u18r6f620pkt;1;-1;2;0;1;-2;-3;-4;-1;-4;21;Femenino;Gb2IG6WpF@gmail.com;Si;Chañaral;Media incompleta;Artes;Iniciada;Universidad La República (ULARE);Postgrado incompleta;Universidad incompleta;FONASA C;Si;No;No se;15;Madre
29;"";acepto participar;uvrp4vkmdvyz7vnmv5f8;-1;-4;-4;2;3;0;-2;-2;1;-2;18;Masculino;Mewgsu9xUV@gmail.com;No;Arauco;Básica incompleta;Otro;Segundo;Universidad Autónoma de Chile (UAS);Media completa;Centro de Formación Técnica o en Instituto Profesional incompleta;FONASA D;No;Si;No;52;"Madre; Hermanas; Amigas cercanas"
10;"";acepto participar;vx6jyxsr62sf7ss8wfah;-2;-1;-3;2;-2;1;-3;1;-1;2;36;Masculino;YwU5TbzyLY@gmail.com;Si;Peumo;Básica completa;Ciencias de la salud;Segundo;Universidad Bolivariana;Básica completa;Básica completa;FONASA B;No;Si;Si;76;"Madre; Amigas cercanas"
11;"";acepto participar;o8qt6recloq6qj4bcaf4;0;-2;3;-1;-4;4;2;-4;-2;-1;22;Femenino;nGl1xR5MHb@gmail.com;Si;Antofagasta;Media completa;Ciencias / Ingeniería;Quinto;Universidad Católica de la Sma. Concepción (UCSC);Media incompleta;Básica incompleta;FONASA A;No;Si;No;43;Madre
12;"";acepto participar;y6phslb64ar7fozcno5y;-2;3;-1;-4;4;2;-4;-2;-1;-4;36;No binario;64KlHSg@gmail.com;Si;Ranquil;Postgrado completa;Artes;Segundo;Universidad de Atacama (UDA);Universidad incompleta;Media incompleta;Isapre;Si;Si;No;58;"Madre; Hermanas; Amigas cercanas"
13;"";acepto participar;kuyjz0u7vmtxougro9jg;-2;3;-1;-4;4;2;-4;-2;-1;-4;50;Masculino;9NkkV@gmail.com;Si;General Lagos;Postgrado completa;Otro;Primero;Universidad Católica Cardenal Silva Henríquez (UCSH);Básica incompleta;Básica incompleta;FONASA B;Si;No;No se;66;"Madre; Hermanas; Amigas cercanas"
27;"";acepto participar;9e600l4ygprxtt2ht5fe;-2;-1;-4;-4;2;3;0;-2;-2;1;19;No binario;L1uTp3@gmail.com;Si;Curepto;Magíster o Doctorado completa;Humanidades y Ciencias Sociales;Quinto;Universidad Chileno - Británica de Cultura;Centro de Formación Técnica o en Instituto Profesional completa;Media completa;Otros;Si;No;Si;66;"Madre; Hermanas; Amigas cercanas"
28;"";acepto participar;a0v628mjjcecalaeklcq;2;0;1;-2;-3;-4;-1;-4;-4;-2;20;No binario;bje4KDe@gmail.com;No;Quillota;Universidad completa;Humanidades y Ciencias Sociales;Primero;Universidad Marítima de Chile;Media incompleta;Postgrado completa;FONASA C;Si;No;Si;48;Madre
15;"";acepto participar;29sttbgu9llkmzb5mbs6;3;-1;-4;4;2;-4;-2;-1;-4;-4;25;Femenino;7CSCaN85@gmail.com;Si;Río Claro;Sin educación formal;Humanidades y Ciencias Sociales;Tercero;Universidad Miguel de Cervantes;Básica incompleta;Básica completa;FONASA D;No;No;Si;66;Amigas cercanas
14;"";acepto participar;fhr5078dpv2mm4v7971m;-3;2;-2;1;-3;1;-1;2;0;1;36;No binario;64KlHSg@gmail.com;Si;Ranquil;Postgrado completa;Artes;Segundo;Universidad de Atacama (UDA);Universidad incompleta;Media incompleta;Isapre;Si;Si;No;58;"Madre; Hermanas; Amigas cercanas"
16;"";acepto participar;cazj32vt7ze06k4klpqs;2;-2;1;-3;1;-1;2;0;1;-2;20;No binario;Z8qxtWo@gmail.com;No;Putaendo;Universidad completa;Ciencias / Ingeniería;Cuarto;Universidad Católica del Maule (UCM);Media incompleta;Sin educación formal;Isapre;Si;No;No se;34;"Madre; Hermanas; Amigas cercanas"
1;"";acepto participar;t3efhw9ny50by8yr8bey;-2;-2;3;2;4;0;-2;3;-1;-4;19;No binario;snJTnjLf@gmail.com;No;Perquenco;Postgrado completa;Artes;Quinto;Universidad Miguel de Cervantes;Magíster o Doctorado incompleta;Media completa;FONASA B;No;No;No se;81;"Madre; Hermanas; Amigas cercanas"
18;"";acepto participar;tyfcytjns6t8pr7rgumm;-2;1;-3;1;-1;2;0;1;-2;-3;28;Femenino;hJXgVBsO@gmail.com;Si;Calbuco;Básica completa;Negocios / Comercio;Segundo;Universidad Miguel de Cervantes;Sin educación formal;Universidad completa;FONASA A;No;Si;No se;62;"Madre; Hermanas; Amigas cercanas"
