id;Consent_000_RAW;Consent_001_RAW;Consent_000_DIR;Consent_001_DIR;Consent_RAW_NA;Consent_DIR_NA;Consent_DIRt;DEMOGR_01_RAW;DEMOGR_02_RAW;DEMOGR_03_RAW;DEMOGR_05_RAW;DEMOGR_06_RAW;DEMOGR_07_RAW;DEMOGR_08_RAW;DEMOGR_10_RAW;DEMOGR_11_RAW;DEMOGR_12_RAW;DEMOGR_13_RAW;DEMOGR_14_RAW;DEMOGR_15_RAW;DEMOGR_16_RAW;DEMOGR_17_RAW;DEMOGR_18_RAW;DEMOGR_19_RAW;DEMOGR_01_DIR;DEMOGR_02_DIR;DEMOGR_03_DIR;DEMOGR_05_DIR;DEMOGR_06_DIR;DEMOGR_07_DIR;DEMOGR_08_DIR;DEMOGR_10_DIR;DEMOGR_11_DIR;DEMOGR_12_DIR;DEMOGR_13_DIR;DEMOGR_14_DIR;DEMOGR_15_DIR;DEMOGR_16_DIR;DEMOGR_17_DIR;DEMOGR_18_DIR;DEMOGR_19_DIR;DEMOGR_RAW_NA;DEMOGR_DIR_NA;DEMOGR_comuna_DIRd;DEMOGR_edad_DIRd;DEMOGR_genero_DIRd;Goodbye_001_RAW;Goodbye_001_DIR;Goodbye_RAW_NA;Goodbye_DIR_NA;Goodbye_DIRt;SBS_01_RAW;SBS_02_RAW;SBS_03_RAW;SBS_04_RAW;SBS_05_RAW;SBS_06_RAW;SBS_07_RAW;SBS_08_RAW;SBS_09_RAW;SBS_10_RAW;SBS_01_DIR;SBS_02_DIR;SBS_03_DIR;SBS_04_DIR;SBS_05_DIR;SBS_06_DIR;SBS_07_DIR;SBS_08_DIR;SBS_09_DIR;SBS_10_DIR;SBS_RAW_NA;SBS_DIR_NA;SBS_DIRt
1;"";acepto participar;;1;0;0;1;19;No binario;snJTnjLf@gmail.com;No;Perquenco;Postgrado completa;Artes;Quinto;Universidad Miguel de Cervantes;Magíster o Doctorado incompleta;Media completa;FONASA B;No;No;No se;81;"Madre; Hermanas; Amigas cercanas";19;2;snJTnjLf@gmail.com;1;Perquenco;Postgrado completa;Artes;1;Universidad Miguel de Cervantes;Magíster o Doctorado incompleta;Media completa;FONASA B;0;No;2;81;7;0;0;9113;19;2;t3efhw9ny50by8yr8bey;t3efhw9ny50by8yr8bey;0;0;DONE;-2;-2;3;2;4;0;-2;3;-1;-4;-2;-2;3;2;4;0;-2;3;-1;-4;0;0;1
10;"";acepto participar;;1;0;0;1;36;Masculino;YwU5TbzyLY@gmail.com;Si;Peumo;Básica completa;Ciencias de la salud;Segundo;Universidad Bolivariana;Básica completa;Básica completa;FONASA B;No;Si;Si;76;"Madre; Amigas cercanas";36;0;YwU5TbzyLY@gmail.com;1;Peumo;Básica completa;Ciencias de la salud;1;Universidad Bolivariana;Básica completa;Básica completa;FONASA B;0;Si;1;76;5;0;0;6112;36;0;vx6jyxsr62sf7ss8wfah;vx6jyxsr62sf7ss8wfah;0;0;DONE;-2;-1;-3;2;-2;1;-3;1;-1;2;-2;-1;-3;2;-2;1;-3;1;-1;2;0;0;-6
11;"";acepto participar;;1;0;0;1;22;Femenino;nGl1xR5MHb@gmail.com;Si;Antofagasta;Media completa;Ciencias / Ingeniería;Quinto;Universidad Católica de la Sma. Concepción (UCSC);Media incompleta;Básica incompleta;FONASA A;No;Si;No;43;Madre;22;1;nGl1xR5MHb@gmail.com;1;Antofagasta;Media completa;Ciencias / Ingeniería;1;Universidad Católica de la Sma. Concepción (UCSC);Media incompleta;Básica incompleta;FONASA A;0;Si;0;43;1;0;0;2101;22;1;o8qt6recloq6qj4bcaf4;o8qt6recloq6qj4bcaf4;0;0;DONE;0;-2;3;-1;-4;4;2;-4;-2;-1;0;-2;3;-1;-4;4;2;-4;-2;-1;0;0;-5
12;"";acepto participar;;1;0;0;1;36;No binario;64KlHSg@gmail.com;Si;Ranquil;Postgrado completa;Artes;Segundo;Universidad de Atacama (UDA);Universidad incompleta;Media incompleta;Isapre;Si;Si;No;58;"Madre; Hermanas; Amigas cercanas";36;2;64KlHSg@gmail.com;1;Ranquil;Postgrado completa;Artes;1;Universidad de Atacama (UDA);Universidad incompleta;Media incompleta;Isapre;1;Si;0;58;7;0;0;16206;36;2;y6phslb64ar7fozcno5y;y6phslb64ar7fozcno5y;0;0;DONE;-2;3;-1;-4;4;2;-4;-2;-1;-4;-2;3;-1;-4;4;2;-4;-2;-1;-4;0;0;-9
13;"";acepto participar;;1;0;0;1;50;Masculino;9NkkV@gmail.com;Si;General Lagos;Postgrado completa;Otro;Primero;Universidad Católica Cardenal Silva Henríquez (UCSH);Básica incompleta;Básica incompleta;FONASA B;Si;No;No se;66;"Madre; Hermanas; Amigas cercanas";50;0;9NkkV@gmail.com;1;General Lagos;Postgrado completa;Otro;1;Universidad Católica Cardenal Silva Henríquez (UCSH);Básica incompleta;Básica incompleta;FONASA B;1;No;2;66;7;0;0;15202;50;0;kuyjz0u7vmtxougro9jg;kuyjz0u7vmtxougro9jg;0;0;DONE;-2;3;-1;-4;4;2;-4;-2;-1;-4;-2;3;-1;-4;4;2;-4;-2;-1;-4;0;0;-9
14;"";acepto participar;;1;0;0;1;36;No binario;64KlHSg@gmail.com;Si;Ranquil;Postgrado completa;Artes;Segundo;Universidad de Atacama (UDA);Universidad incompleta;Media incompleta;Isapre;Si;Si;No;58;"Madre; Hermanas; Amigas cercanas";36;2;64KlHSg@gmail.com;1;Ranquil;Postgrado completa;Artes;1;Universidad de Atacama (UDA);Universidad incompleta;Media incompleta;Isapre;1;Si;0;58;7;0;0;16206;36;2;fhr5078dpv2mm4v7971m;fhr5078dpv2mm4v7971m;0;0;DONE;-3;2;-2;1;-3;1;-1;2;0;1;-3;2;-2;1;-3;1;-1;2;0;1;0;0;-2
15;"";acepto participar;;1;0;0;1;25;Femenino;7CSCaN85@gmail.com;Si;Río Claro;Sin educación formal;Humanidades y Ciencias Sociales;Tercero;Universidad Miguel de Cervantes;Básica incompleta;Básica completa;FONASA D;No;No;Si;66;Amigas cercanas;25;1;7CSCaN85@gmail.com;1;Río Claro;Sin educación formal;Humanidades y Ciencias Sociales;1;Universidad Miguel de Cervantes;Básica incompleta;Básica completa;FONASA D;0;No;1;66;3;0;0;7108;25;1;29sttbgu9llkmzb5mbs6;29sttbgu9llkmzb5mbs6;0;0;DONE;3;-1;-4;4;2;-4;-2;-1;-4;-4;3;-1;-4;4;2;-4;-2;-1;-4;-4;0;0;-11
16;"";acepto participar;;1;0;0;1;20;No binario;Z8qxtWo@gmail.com;No;Putaendo;Universidad completa;Ciencias / Ingeniería;Cuarto;Universidad Católica del Maule (UCM);Media incompleta;Sin educación formal;Isapre;Si;No;No se;34;"Madre; Hermanas; Amigas cercanas";20;2;Z8qxtWo@gmail.com;1;Putaendo;Universidad completa;Ciencias / Ingeniería;1;Universidad Católica del Maule (UCM);Media incompleta;Sin educación formal;Isapre;1;No;2;34;7;0;0;5705;20;2;cazj32vt7ze06k4klpqs;cazj32vt7ze06k4klpqs;0;0;DONE;2;-2;1;-3;1;-1;2;0;1;-2;2;-2;1;-3;1;-1;2;0;1;-2;0;0;-1
17;"";acepto participar;;1;0;0;1;27;Masculino;HpdWj8ehS@gmail.com;Si;Collipulli;Postgrado incompleta;Ciencias de la salud;Primero;Universidad de Aconcagua;Básica completa;Magíster o Doctorado completa;FONASA A;No;No;No se;57;"Madre; Hermanas";27;0;HpdWj8ehS@gmail.com;1;Collipulli;Postgrado incompleta;Ciencias de la salud;1;Universidad de Aconcagua;Básica completa;Magíster o Doctorado completa;FONASA A;0;No;2;57;4;0;0;9202;27;0;c85kwlrf88b8y4vgn6yd;c85kwlrf88b8y4vgn6yd;0;0;DONE;-1;-4;4;2;-4;-2;-1;-4;-4;2;-1;-4;4;2;-4;-2;-1;-4;-4;2;0;0;-12
18;"";acepto participar;;1;0;0;1;28;Femenino;hJXgVBsO@gmail.com;Si;Calbuco;Básica completa;Negocios / Comercio;Segundo;Universidad Miguel de Cervantes;Sin educación formal;Universidad completa;FONASA A;No;Si;No se;62;"Madre; Hermanas; Amigas cercanas";28;1;hJXgVBsO@gmail.com;1;Calbuco;Básica completa;Negocios / Comercio;1;Universidad Miguel de Cervantes;Sin educación formal;Universidad completa;FONASA A;0;Si;2;62;7;0;0;10102;28;1;tyfcytjns6t8pr7rgumm;tyfcytjns6t8pr7rgumm;0;0;DONE;-2;1;-3;1;-1;2;0;1;-2;-3;-2;1;-3;1;-1;2;0;1;-2;-3;0;0;-6
