id,Consent_000_RAW,Consent_001_RAW,DEMOGR_01_RAW,DEMOGR_02_RAW,DEMOGR_03_RAW,DEMOGR_05_RAW,DEMOGR_06_RAW,DEMOGR_07_RAW,DEMOGR_08_RAW,DEMOGR_10_RAW,DEMOGR_11_RAW,DEMOGR_12_RAW,DEMOGR_13_RAW,DEMOGR_14_RAW,DEMOGR_15_RAW,DEMOGR_16_RAW,DEMOGR_17_RAW,DEMOGR_18_RAW,DEMOGR_19_RAW,Goodbye_001_RAW,SBS_01_RAW,SBS_02_RAW,SBS_03_RAW,SBS_04_RAW,SBS_05_RAW,SBS_06_RAW,SBS_07_RAW,SBS_08_RAW,SBS_09_RAW,SBS_10_RAW
20,"",acepto participar,"{""""Q0"""":""""39""""}","{""""Q0"""":"""" Masculino""""}","{""""Q0"""":""""ENLIEYB@gmail.com""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""San Rafael""""}","{""""Q0"""":"""" Básica completa""""}","{""""Q0"""":"""" Ciencias / Ingeniería""""}","{""""Q0"""":"""" Primero""""}","{""""Q0"""":""""Universidad Santo Tomás""""}","{""""Q0"""":"""" Universidad completa""""}","{""""Q0"""":"""" Centro de Formación Técnica o en Instituto Profesional completa""""}","{""""Q0"""":"""" FONASA A""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No se""""}","{""""Q0"""":""""52""""}","{""""Q0"""":[""""&nbsp;Madre"""",""""&nbsp;Hermanas"""",""""&nbsp;Amigas cercanas""""]}",pux48tffu4nbvpl5se3o,1,-3,1,-1,2,0,1,-2,-3,-4
23,"",acepto participar,"{""""Q0"""":""""22""""}","{""""Q0"""":"""" Masculino""""}","{""""Q0"""":""""0NF7y2@gmail.com""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""La Ligua""""}","{""""Q0"""":"""" Básica incompleta""""}","{""""Q0"""":"""" Ciencias / Ingeniería""""}","{""""Q0"""":"""" Cuarto""""}","{""""Q0"""":""""Universidad Autónoma de Chile (UAS)""""}","{""""Q0"""":"""" Centro de Formación Técnica o en Instituto Profesional incompleta""""}","{""""Q0"""":"""" Media incompleta""""}","{""""Q0"""":"""" FONASA D""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""49""""}","{""""Q0"""":[""""&nbsp;Madre""""]}",g4udc6m7nmvu029d6laf,2,-4,-2,-1,-4,-4,2,3,0,-2
22,"",acepto participar,"{""""Q0"""":""""33""""}","{""""Q0"""":"""" No binario""""}","{""""Q0"""":""""loZgO@gmail.com""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""Laguna Blanca""""}","{""""Q0"""":"""" Universidad incompleta""""}","{""""Q0"""":"""" Humanidades y Ciencias Sociales""""}","{""""Q0"""":"""" Iniciada""""}","{""""Q0"""":""""Universidad de Los Andes (UANDES)""""}","{""""Q0"""":"""" Centro de Formación Técnica o en Instituto Profesional completa""""}","{""""Q0"""":"""" Postgrado incompleta""""}","{""""Q0"""":"""" FONASA B""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No se""""}","{""""Q0"""":""""27""""}","{""""Q0"""":[""""&nbsp;Madre""""]}",z82hrra9gdfrhw48pxn3,-3,1,-1,2,0,1,-2,-3,-4,-1
30,"",acepto participar,"{""""Q0"""":""""42""""}","{""""Q0"""":"""" No binario""""}","{""""Q0"""":""""2nY48I@gmail.com""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""Osorno""""}","{""""Q0"""":"""" Centro de Formación Técnica o en Instituto Profesional completa""""}","{""""Q0"""":"""" Humanidades y Ciencias Sociales""""}","{""""Q0"""":"""" Segundo""""}","{""""Q0"""":""""Universidad Católica de Temuco (UCT)""""}","{""""Q0"""":"""" Postgrado completa""""}","{""""Q0"""":"""" Magíster o Doctorado incompleta""""}","{""""Q0"""":"""" Isapre""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No se""""}","{""""Q0"""":""""72""""}","{""""Q0"""":[""""&nbsp;Madre"""",""""&nbsp;Hermanas""""]}",pzwfqv05gld96dh9w1c1,0,1,-2,-3,-4,-1,-4,-4,-2,-4
21,"",acepto participar,"{""""Q0"""":""""35""""}","{""""Q0"""":"""" No binario""""}","{""""Q0"""":""""aLEetaswG6@gmail.com""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""Caldera""""}","{""""Q0"""":"""" Básica incompleta""""}","{""""Q0"""":"""" Humanidades y Ciencias Sociales""""}","{""""Q0"""":"""" Segundo""""}","{""""Q0"""":""""Universidad de Artes, Cs. y Comunicación (UNIACC)""""}","{""""Q0"""":"""" Básica incompleta""""}","{""""Q0"""":"""" Centro de Formación Técnica o en Instituto Profesional incompleta""""}","{""""Q0"""":"""" FONASA B""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""65""""}","{""""Q0"""":[""""&nbsp;Hermanas"""",""""&nbsp;Amigas cercanas""""]}",gtb9lr9u7se7a51edklo,4,2,-4,-2,-1,-4,-4,2,3,0
25,"",acepto participar,"{""""Q0"""":""""24""""}","{""""Q0"""":"""" Masculino""""}","{""""Q0"""":""""ClV2he2@gmail.com""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""Máfil""""}","{""""Q0"""":"""" Básica completa""""}","{""""Q0"""":"""" Negocios / Comercio""""}","{""""Q0"""":"""" Primero""""}","{""""Q0"""":""""Universidad Central de Chile (UCENTRAL)""""}","{""""Q0"""":"""" Media incompleta""""}","{""""Q0"""":"""" Centro de Formación Técnica o en Instituto Profesional completa""""}","{""""Q0"""":"""" FONASA D""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""61""""}","{""""Q0"""":[""""&nbsp;Hermanas"""",""""&nbsp;Amigas cercanas""""]}",fp199dz8pjxxy9h229w1,-4,-2,-1,-4,-4,2,3,0,-2,-2
26,"",acepto participar,"{""""Q0"""":""""29""""}","{""""Q0"""":"""" Femenino""""}","{""""Q0"""":""""IzDpkPy@gmail.com""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""Chile Chico""""}","{""""Q0"""":"""" Sin educación formal""""}","{""""Q0"""":"""" Artes""""}","{""""Q0"""":"""" Primero""""}","{""""Q0"""":""""Universidad Miguel de Cervantes""""}","{""""Q0"""":"""" Universidad incompleta""""}","{""""Q0"""":"""" Media incompleta""""}","{""""Q0"""":"""" FONASA B""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""60""""}","{""""Q0"""":[""""&nbsp;Madre"""",""""&nbsp;Hermanas"""",""""&nbsp;Amigas cercanas""""]}",0gtt2t854kbta2g7hbta,-1,2,0,1,-2,-3,-4,-1,-4,-4
24,"",acepto participar,"{""""Q0"""":""""21""""}","{""""Q0"""":"""" Femenino""""}","{""""Q0"""":""""Gb2IG6WpF@gmail.com""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""Chañaral""""}","{""""Q0"""":"""" Media incompleta""""}","{""""Q0"""":"""" Artes""""}","{""""Q0"""":"""" Iniciada""""}","{""""Q0"""":""""Universidad La República (ULARE)""""}","{""""Q0"""":"""" Postgrado incompleta""""}","{""""Q0"""":"""" Universidad incompleta""""}","{""""Q0"""":"""" FONASA C""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" No se""""}","{""""Q0"""":""""15""""}","{""""Q0"""":[""""&nbsp;Madre""""]}",836ysy11u18r6f620pkt,1,-1,2,0,1,-2,-3,-4,-1,-4
29,"",acepto participar,"{""""Q0"""":""""18""""}","{""""Q0"""":"""" Masculino""""}","{""""Q0"""":""""Mewgsu9xUV@gmail.com""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""Arauco""""}","{""""Q0"""":"""" Básica incompleta""""}","{""""Q0"""":"""" Otro""""}","{""""Q0"""":"""" Segundo""""}","{""""Q0"""":""""Universidad Autónoma de Chile (UAS)""""}","{""""Q0"""":"""" Media completa""""}","{""""Q0"""":"""" Centro de Formación Técnica o en Instituto Profesional incompleta""""}","{""""Q0"""":"""" FONASA D""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":""""52""""}","{""""Q0"""":[""""&nbsp;Madre"""",""""&nbsp;Hermanas"""",""""&nbsp;Amigas cercanas""""]}",uvrp4vkmdvyz7vnmv5f8,-1,-4,-4,2,3,0,-2,-2,1,-2
10,"",acepto participar,"{""""Q0"""":""""36""""}","{""""Q0"""":"""" Masculino""""}","{""""Q0"""":""""YwU5TbzyLY@gmail.com""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""Peumo""""}","{""""Q0"""":"""" Básica completa""""}","{""""Q0"""":"""" Ciencias de la salud""""}","{""""Q0"""":"""" Segundo""""}","{""""Q0"""":""""Universidad Bolivariana""""}","{""""Q0"""":"""" Básica completa""""}","{""""Q0"""":"""" Básica completa""""}","{""""Q0"""":"""" FONASA B""""}","{""""Q0"""":"""" No""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":"""" Si""""}","{""""Q0"""":""""76""""}","{""""Q0"""":[""""&nbsp;Madre"""",""""&nbsp;Amigas cercanas""""]}",vx6jyxsr62sf7ss8wfah,-2,-1,-3,2,-2,1,-3,1,-1,2
